#,Source,book/wikipedia,Passage,Question,Answer,Passagem,Questão,Resposta
1,Alcatrazes_Islands.txt,wikipedia,"Alcatrazes possesses rich fauna and flora; by December 2019 13 thousand species had been registered there 93 of which were deemed endangered and 20 were endemic including the Bothrops alcatraz the Scinax alcatraz and the true frog Cycloramphus faustoi. Other endemic species yet to be discovered are believed to exist there including a species of coral snake which two only known individuals were lost during the fire at the Instituto Butantan.Such occurrence of endemism lead the archipelago to be nicknamed ""the Galápagos of Brazil"" by some researchers who believe Charles Darwin would have come to the same conclusions he came to in the Equatorian archipelago had he studied the fauna of Alcatrazes. As described in the sub-section ""Geology"" above the islands were for tens of thousands of years linked to the continent which provided easy access to the place for several species. As the waters rose again and the mountains returned to their island status the animals that were stranded there either died or adapted and evolved giving birth to all those unique species.On the main island there is the world's biggest cluster of frigatebirds' nests with a gathering of 6000 individuals. Some 10000 birds live in the archipelago with over 100 different confirmed species including endangered ones like the American oystercatcher and the South American tern.In the waters surrounding the archipelago several species live among the grooved brain corals including 400 species of invertebrates and between 200 and 250 species of fish a number superior to anywhere else in Brazil including the much bigger Fernando de Noronha archipelago with 150 species. The place is also visited by cetaceans. The not so long but also not so short distance between island and continent combined with the fact that it is located in a transition zone of warm tropical waters to colder subtropical ones make for the big diversity of fishes.The sea around the islands wouldn't receive much attention until the 1990s because diving was not yet regarded as a true scientific tool in Brazil. It was in the archipelago that such reality began to change.Beside the Navy exercises another threat to the local ecosystem is the sea pollution be it from chemical dejects (which contaminate the plankton and consequently the whole food chain involved with it) or incorrectly disposed waste. The invasive orange cup coral is another risk to the local fauna. They were first detected in 2011 and since then they are monitored and removed so they do not become a plague although its eradication is no longer considered possible to achieve.",How many birds live in the Alcatrazes islands?,Around 10000 birds.,"Alcatrazes possui rica fauna e flora; Em dezembro de 2019 13 mil espécies haviam sido registradas lá 93, dos quais foram considerados ameaçados e 20 foram endêmicos, incluindo os quartos Alcatraz, o Scinax Alcatraz e o verdadeiro sapo Cycloramphus faustoi. Outras espécies endêmicas ainda a serem descobertas sejam existentes, incluindo uma espécie de cobra de coral, que dois únicos indivíduos conhecidos foram perdidos durante o incêndio no Instituto Butantan.Such Ocorrence de endemismo levar o arquipélago a ser apelidado de ""The Galápagos do Brasil"" Alguns pesquisadores que acreditam que Charles Darwin teria chegado às mesmas conclusões que ele veio no arquipélago equatorial, ele estudou a fauna de Alcatrazes. Conforme descrito na subseção ""Geologia"" acima das ilhas foram para dezenas de milhares de anos ligados ao continente que proporcionava fácil acesso ao local para várias espécies. Como as águas subiram novamente e as montanhas retornaram para o status da ilha, os animais que foram encalhados lá morreu ou adaptados e evoluíram dando origem a todas aquelas espécies únicas. Na ilha principal, há o maior aglomerado de fragatas com uma reunião. de 6000 indivíduos. Cerca de 10000 pássaros vivem no arquipélago com mais de 100 espécies confirmadas diferentes, incluindo as ameaçadas como a American Oystercatcher e a Águas do Sul-Americana. Em torno das águas que cercam a arquipélago várias espécies vivem entre os corais cerebrais ranhurados, incluindo 400 espécies de invertebrados e entre 200 e 250. Espécies de peixes Um número superior a qualquer outro lugar no Brasil, incluindo o arquipélago muito maior de Fernando de Noronha com 150 espécies. O local também é visitado por cetáceos. Os não tão longos, mas também não tão curta distância entre a ilha e o continente combinado com o fato de que está localizado em uma zona de transição de águas tropicais quentes para as subtropicais mais frias fazem para a grande diversidade de peixes. O mar ao redor das ilhas não Receba muita atenção até a década de 1990, porque o mergulho ainda não foi considerado como uma verdadeira ferramenta científica no Brasil. Foi no arquipélago que essa realidade começou a mudar.Beside que os exercícios da marinha outra ameaça ao ecossistema local é a poluição do mar é a partir de produtos químicos (que contaminam o plâncton e, consequentemente, toda a cadeia alimentar envolvida com ela) ou desperdício incorretamente . O copo de laranja invasivo coral é outro risco para a fauna local. Eles foram detectados pela primeira vez em 2011 e desde então eles são monitorados e removidos para que não se tornem uma praga, embora sua erradicação não seja mais considerada possível para alcançar.",Quantas aves vivem nas ilhas de Alcatrazes?,Cerca de 10000 pássaros.
2,Alcatrazes_Islands.txt,wikipedia,"The islands are believed to present their very current format since at least 2.5 million years ago. However, during the last glacial period (in between 85 thousand and 15 thousand years ago), the sea water was receded in such a way that the archipelago was actually a mountain still connected to the continent.Alcatrazes is formed by five main islands. The biggest one is known as Alcatrazes Island (2.5 km long with an area of 170 hectares (420 acres)) and the other ones are called da Sapata, do Paredão, do Porto (or do Farol) and do Sul. There are also four unnamed islets; five lajes (Dupla, Singela, do Paredão, do Farol and Negra); and two placers (Nordeste and Sudeste). Its depth can reach 50 m. Its total oceanic coverage is of 67,000 hectares (170,000 acres).The highest point of the archipelago is the Boa Vista (or dos Alcatrazes) Peak, 316 m high. Another peak is do Oratório at 154 m. The islands' faces are marked by rocky, steep walls that can reach up to 200 metres (660 ft) in height. Between the southern and eastern arms of the main island is the Saco do Funil, the most protected part of the island and the place where the Brazilian Navy used to practice shooting (see details in the ""History"" section below).The Farol Island, also known as Porto Island, has a 7m tall lighthouse (hence its name; ""farol"" is Portuguese for lighthouse).",What are the five slabs in Alcatrazes?,"Duplo, Singela, do Paredão, Farol and Negra","Acredita-se que as ilhas apresentem seu formato atual desde pelo menos 2,5 milhões de anos atrás. No entanto, durante o último período glacial (entre 85 mil e 15 mil anos atrás), a água do mar foi recuada de tal forma que o arquipélago era na verdade uma montanha ainda conectada ao continente.Alcatrazes é formado por cinco ilhas principais. O maior é conhecido como Ilha Alcatrazes (2,5 km de comprimento com uma área de 170 hectares (420 acres)) e os outros são chamados da Sapata, do Paredão, do Porto (ou do Farol) e do Sul. Há também quatro ilhotas sem nome; Cinco Lajes (Dupla, Singela, Paredão, Do Farol e Negra); e dois placers (Nordeste e Sudeste). Sua profundidade pode atingir 50 m. Sua cobertura oceânica total é de 67.000 hectares (170.000 acres). O ponto mais alto do arquipélago é o pico de Boa Vista (ou alcatrazes), 316 m de altura. Outro pico é Oratrio a 154 m. Os rostos das ilhas são marcados por paredes rochosas e íngremes que podem atingir até 200 metros (660 pés) de altura. Entre os braços do sul e oriental da ilha principal é o Saco do Funil, a parte mais protegida da ilha e o lugar onde a Marinha brasileira costumava praticar tiroteio (ver detalhes na seção ""História"" abaixo). A ilha de Farol, Também conhecido como Porto Island, tem um farol alto de 7m (daí seu nome; ""Farol"" é português para farol).",Quais são as cinco lajes em Alcatrazes?,"Duplo, Singela, Paredão, Farol e Negra"
3,Recife_Port.txt,wikipedia,The port handles National and international cruises mainly of those connecting Fernando de Noronha with Brazil Caribbean islands and South America. The Brazilian and foreign tourists who come to Recife on a cruise ship will use a new Passengers Terminal (2009) where before was warehouse n.7; with stores food court and information kiosks. Also will have an increase in depth from 8.4 m to 11.5 meters deep what originates will no longer be necessary to do transfer between large and small ships as before.,is the recife port international?,yes,"O porto lida com os cruzeiros nacionais e internacionais, principalmente daqueles que ligam Fernando de Noronha com as Ilhas Caraíbas do Brasil e a América do Sul. Os turistas brasileiros e estrangeiros que vêm para Recife em um navio de cruzeiro usarão um novo terminal de passageiros (2009), onde antes era o armazém N.7; Com lojas de quadra de alimentos e quiosques de informação. Também terá um aumento de profundidade de 8,4 m a 11,5 metros de profundidade, o que origina não será mais necessário para transferência entre grandes e pequenos navios como antes.",O Recife Port International?,sim
4,Campos_Basin.txt,wikipedia,Five tectonic stages have been identified in the Brazilian basins:,How many tectonic stages have been identified in the brazilian basins?,five,Cinco etapas tectônicas foram identificadas nas bacias brasileiras:,Quantos estágios tectônicos foram identificados nas bacias brasileiras?,cinco
5,Port_of_Santos.txt,wikipedia,"Shaped by urban, economic and demographic development from the maritime industry, the Port of Santos is the largest port in Latin America, and the gateway to most of the goods that circulate Brazil.  It drives the economy of the town of Santos and therefore the town is mainly dependent on the port. The people that live in Santos are influenced by the port's day to day actions. The port of Santos is Brazil's largest port providing exports and imports to and from all over the world. The main exports are coffee, sugar, and soy. The port handles 28% of Brazil's total cargo and in 2010, the Port of Santos handled a record of almost 97.2 million tons of cargo.",What are the main exports that go through the Port of Santos?,"The main exports are coffee, sugar, and soy.","Forma de desenvolvimento urbano, econômico e demográfico da indústria marítima, o porto de Santos é o maior porto da América Latina, e a porta de entrada para a maioria dos bens que circulam o Brasil. Ativa a economia da cidade de Santos e, portanto, a cidade é dependente principalmente do porto. As pessoas que vivem em Santos são influenciadas pelas ações do dia a dia. O porto de Santos é o maior porto do Brasil fornecendo exportações e importações de e de todo o mundo. As principais exportações são café, açúcar e soja. A porta lida com 28% da carga total do Brasil e em 2010, o porto de Santos lidou com um registro de quase 97,2 milhões de toneladas de carga.",Quais são as principais exportações que passam pelo porto de Santos?,"As principais exportações são café, açúcar e soja."
6,Exclusive_economic_zone_of_Brazil.txt,wikipedia,The area may be expanded to 4.4 million square kilometres in view of the Brazilian claim that was submitted to the United Nations Commission on the Limits of the Continental Shelf (CLCS) in 2004. It is proposed to extend Brazil's continental shelf to 900 thousand square kilometers of marine soil and subsoil which the country will be able to explore. With the extension the area will become more contiguous including the areas of Brazilian archipelagos in the South Atlantic . The region with the largest Blue Amazon is the Northeast due to the existence of several islands that are well spaced from each other in a contiguous marine zone (the island of Trindade is too far from the coast for the same to occur).,What is the brazilian region with the largest Blue Amazon piece?,Northeast region,"A área pode ser expandida para 4,4 milhões de quilômetros quadrados, tendo em vista a alegação brasileira que foi submetida à Comissão das Nações Unidas sobre os limites da prateleira continental (CLCs) em 2004. Propõe-se estender a prateleira continental do Brasil para 900 mil quilômetros quadrados de solo marinho e subsolo que o país poderá explorar. Com a extensão, a área se tornará mais contígua, incluindo as áreas de arquipélagos brasileiros no Atlântico Sul. A região com a maior Amazônia Azul é o Nordeste devido à existência de várias ilhas que estão bem espaçadas em uma zona marinha contígua (a ilha de Trindade é muito longe da costa para o mesmo acontecer).",Qual é a região brasileira com a maior peça azul amazônica?,Região Nordeste
7,Rocas_Atoll.txt,wikipedia,"The land area of the two islets (Cemitério Island, southwest and Farol Cay, northwest) is 0.36 square kilometres (89 acres).",What are the names of the two islets of Rocas Atoll?,Cemitério Island and Farol Cay,"A área da terra das duas ilhotas (Ilha Cemitério, Southwest e Farol Cay, Northwest) é de 0,36 quilômetros quadrados (89 acres).",Quais são os nomes das duas ilhotas de Rocas Atoll?,Ilha Cemitério e Farol Cay
8,Ilha_Grande.txt,wikipedia,Small-scale ecotourism is being encouraged on the island. Although it has no roads and motorised vehicles are banned the island has more than 150 km (93 mi) of hiking trails connecting all the coastal villages and hamlets. Lodgings have been made available near many of island's 100 unspoilt beaches. One of the most popular activities for visitors is to trek to Lopes Mendes beach about a two-hour hike from Abraao. Travel companies are now offering sight-seeing trips to see the island's various beaches mountains trails and waterfalls.,Are there sight-seeing trips in Ilha Grande?,Yes there are.,O ecoturismo de pequena escala está sendo encorajado na ilha. Embora não tenha estradas e veículos motorizados sejam banidos a ilha tem mais de 150 km (93 km) de trilhas de caminhada conectando todas as aldeias costeiras e aldeias. Os alojamentos foram disponibilizados perto de muitas das 100 praias intocadas da ilha. Uma das atividades mais populares para os visitantes é Trek para Lopes Mendes Beach sobre uma caminhada de duas horas de Abraao. As empresas de viagem estão agora oferecendo viagens de visão para ver as várias trilhas e cachoeiras das montanhas da ilha e cachoeiras.,Há viagens de visão vistos em Ilha Grande?,"Sim, existem."
9,Bay_of_All_Saints.txt,wikipedia,Farol da Barra (Barra Lighthouse) on the site of a historic fort stands at the entrance of the bay. The Bay of All Saints is shallow along much of its area with an average depth of 9.8 meters (32 ft). The Paraguaçu River travels 500 kilometers (310 mi) to empty into the bay and the coastal lowlands of the Reconcavo Basin are at its mouth. It contains 91 islands the largest being Itaparica Island at its entrance. Other important islands include the Ilha dos Frades ilha de Maré ilha de Bom Jesus and the small Ilha do Medo.,What is the largest island of Bay of All Saints?,Itaparica Island,"Farol da Barra (farol de Barra) no local de um forte histórico fica na entrada da baía. A baía de todos os santos é superficialmente ao longo de sua área com uma profundidade média de 9,8 metros (32 pés). O rio Paraguaçu viaja a 500 quilômetros (310 km) para esvaziar a baía e as terras baixas costeiras da bacia reconcavo estão na boca. Contém 91 ilhas a maior ilha de Itaparica na sua entrada. Outras ilhas importantes incluem a Ilha dos Frades Ilha de Maré Ilha de Bom Jesus e a pequena Ilha do Medo.",Qual é a maior ilha de todos os santos?,Ilha de Itaparica.
10,Rocas_Atoll.txt,wikipedia,"Numerous turtles, sharks, dolphins and birds live in the area.",Which animals live in the area of the Atoll?,"Numerous turtles, sharks, dolphins and birds live in the area.","Numerosas tartarugas, tubarões, golfinhos e pássaros vivem na área.",Quais animais vivem na área do atol?,"Numerosas tartarugas, tubarões, golfinhos e pássaros vivem na área."
