label,question,answer
0,Qual é o clima de Sorocaba Brasil?,tropical
2,quão alto é omagua na floresta amazônica,entre 80 e 400 m
0,onde é a temporada 3 da corrida incrível china,Rio de Janeiro
0,Quantos municípios estão no Pantanal,12
2,A litologia do aquífero do paraná consiste principalmente de,Sandstones altamente permeáveis
0,Onde fica o Sunsás ORogor encontrado na América do Sul,Craton amazônio.
0,Em que país é o Parque Indígena do Xingu,Brasil
0,Qual é o clima do chá brasileiro?,quente e úmido
0,Onde Jorge Amado escreveu mar da morte?,"Salvador, Bahia."
0,Quantas línguas indígenas o Brasil,180
0,onde começa o rio aripuanã e fim,Mato Grosso.
2,Quantas espécies de lytocaryum existem no Brasil?,4
1,Quem descobriu Fernando de Noronha,Expedição Gonçalo Coelho.
0,De onde veio os 9 primeiros trens de Metro Chennai,Brasil
0,Qual foi o nome da primeira sinagoga organizada pelos judeus amazônicos em B,Eshel avraham.
1,quantas regiões da Bahia estão lá do rio Paraguaçu,dois
0,Quando Cerradomys Subflavus se tornou um rato comum,2002
0,Quando a estação chuvosa termina em Roxo Rio de Janeiro,Março
0,A Batalha da Ilha Sukho em WW2 também foi conhecida como,Operação Brasil.
0,Quem ganhou temporada 4 de Dolos Brasil,Saulo Roston.
0,"Onde os jogos de basquete em Ambato, Equador acontecem",Coliseo Cerrado de Deportes
0,Como Luis Alberto del Parana morreu,derrame do cérebro
0,Qual porcentagem do PIB do Brasil está localizada na Mata Atlântica,70%
0,Salvia confertiflora é um arbusto perene nativo para,Brasil
0,Quando foi protegido a floresta definida no Brasil,1934
0,onde é o potássio encontrado em florestas de cerrado,área basal tronco de árvore
0,Em qual país escocês jogador de futebol Andrew Ritchie trem para o mundo de 1974,Brasil
2,"Em que país é o guarda da Amazônia, um guarda-costas do sexo feminino e guarda-costas",Líbia
2,"Qual é o nome do prato amazônico feito com pedaços de carne, salsicha",ManiÇOBA.
0,Mônica da Silva é membro do qual Duo brasileira,Animais complicados
1,A ponte do rio Oyapock é a primeira travessia terrestre entre a França e que outras,Brasil
0,Qual é a coroa na efígie do Brasil,folhas de louro
0,Quem escolheu o Rio de Janeiro como sede do tribunal em 1815,Rainha Maria I de Portugal
0,Onde as Ilhas Virgens serão nas Olimpíadas de 2016,"Rio de Janeiro, Brasil"
1,a baía de todos os santos no Brasil está conectada a qual oceano,oceano Atlântico
0,As montanhas Tumuk Humak estão em que país sul-americano,Brasil
0,Qual país tem mais insetos do mundo,Brasil
0,onde é o tanager turquesa encontrado no Brasil,a Amazônia
0,Quantos países estão envolvidos no projeto Guarani Aquifer,Quatro.
0,Quando o termo indianos amazônicos brancos apareceram pela primeira vez?,Século XVI.
0,O Rio Abaete é um rio em que país,Brasil
0,Quantos pteridophytes estão na flora do brasil,1.176.
0,A tapeba são um povo indígena de qual país,Brasil
0,Quem são os índios amazônicos pensaram ser descendentes de,Vikings.
0,Quem descobriu o pássaro de arara do Lear no Brasil,Helmut doente
0,que a indústria de embalagem brasileira tem fortes laços para,organizações ambientais
0,O que o termo redução de emissão de gás de aterro no Brasil significa,projetos de gás de aterro
0,Qual foi o avião que caiu na floresta amazônica,Vôo LANSA 508.
0,O Korboo são um povo indígena de qual país,Brasil
0,Qual é a produção de energia eólica do Brasil até 2015,mais de 8.700 MW
0,A Batalha da Ilha Sukho também foi conhecida como,Operação Brasil.
2,Qual é o nome da fenda no cratão amazônico?,Renda da Amazon
0,Qual país escocês jogador de futebol Andrew Ritchie treinam para em 1974,Brasil
2,Que tipo de rochas estão no cratão amazônico?,Pré-fiador
0,Qual foi o ato mais comum de violência no Amazonas?,roubo de porco
2,onde foi o acordo sobre os princípios florestais assinado,Rio de Janeiro
0,Qual porcentagem do cerrado está molhada?,mais de 90%
0,Em que estado sul-americano é a reserva de desenvolvimento sustentável da Piaga-purus,"Amazonas, Brasil"
0,onde a árvore ilex guayusa encontrou,Floresta amazônica
0,Quantos cidadãos brasileiros vivem no rio Meia Ponte,2 milhões
0,Em qual cidade foi o 'Xuxa Park Fire' em janeiro de 2001,Rio de Janeiro
1,que metal está sendo importado para o país amazônico,mercúrio
1,Qual é o nome da praia em Natal Rio Grande do Norte,Ponta Negra
1,Quando a floresta amazônica tornou-se protegida pelo ARPA?,2003
0,qual país sul-americano tem o maior consumo de energia,Brasil
0,em que país sul-americano a maioria dos jogadores de tênis da praia do mundo jogam,Brasil
2,quão longe é o Antshrike cinzento preto do rio Tocantins,cerca de 3500 km.
1,onde estão os solos oligotrofices encontrados na Amazônia,Bacia do Rio Negro.
0,Por que foi difícil monitorar o desmatamento no Brasil?,o tamanho da floresta tropical
0,O Brasil ultrapassou qual ilha como o país com as tribos mais incontactadas,Nova Guiné
1,Qual é o maior sistema fluvial no Brasil?,Amazonas
0,Qual é o nome dos Amazonas em Nova Amazônia?,Os Amazonas
0,Qual estado é Manaus localizado no Brasil,Amazonas.
0,Que tipo de arara é encontrada em Pantanal,H.
0,Qual país tem seu próprio corpo de bombeiros militares,Brasil
0,Onde os Tamarins do Leão Dourado vivem no Rio,Mata Atlântica
1,Quantos estados compõem a Reserva Florestal do Atlântico,15
0,Qual parque nacional está localizado nas montanhas Serra Geral,Parque Nacional Aparados da Serra
0,Quais porcas são cultivadas na bacia amazônica,castanha-do-pará
1,As ilhas de Trindade e Martin Vaz estão em que país,Brasil
1,O Brasil está localizado na boca da qual rio,Amazonas
1,Em qual região do Brasil é a Amazonas,Norte
0,em que país sul-americano você encontraria a espécie Ucides Cordatus,Brasil
0,Quais foram os dois maiores grupos indígenas do Brasil na época do Portugal,Tupi.
0,qual montanha corre da costa atlântica para o limite sul do Ceará,Serra do Araripe
1,Qual atual forma o limite entre o Brasil e o Mar Argentino,a corrente da falkland.
0,As florestas interiores da Bahia fazem parte do bioma,Complexo de bioma de florestas atlânticas
0,Onde vem o gado de Pantaneiro no Brasil?,a região do Pantanal.
0,Quando o Brasil comprou o submarino da classe Scorpene?,2009
0,Qual foi o propósito original da estrada amazônica?,agricultura
0,onde vivem as secoyas na floresta amazônica,Equador
2,Qual é o maior icterid?,Oopendola amazônio
0,Onde o vento e o fogo da terra se apresentaram no Brasil,Rio de Janeiro
0,onde é o cuco do solo escalado encontrado,floresta amazônica
0,quando foi a montanha de Sugarloaf nomeada no Brasil,Século XVI.
0,Quais são os feriados nacionais brasileiros que reconhece os povos indígenas,Dia indiano
0,onde está a época de Ilha de Ferro 1 filmado,Rio de Janeiro
0,O Palikur foi uma das primeiras tribos amazônicas a lutar contra quem,o galibi.
0,Em que país é a ilha de Ilha dos Lobos,Brasil
0,TeleMEZONAS é a primeira rede de televisão em que país,Equador
0,onde o chchãoo tirano vive na floresta amazônica,perto de rios
0,Barcelos é a capital de qual estado sul-americano,Amazonas.
0,quão longe é um macaco Atlantic Titi do Brasil,Aproximadamente 1.000 quilômetros
0,Quando o guitarfish brasileiro retorna ao oceano?,novembro
3,Quantos episódios em Las Amazonas Telenovelas,105
0,Quem patrocinou a próxima temporada do modelo Brasil,Modelos ford.
0,Quantas aves endêmicas existem no Brasil,191
3,Quais dois países assinaram um cessar-fogo na província amazônica de Azuay,Equador
0,o que é o mais próximo em relação ao peixe-boi amazônico,elefantes
0,Quando foi a primeira estrada na floresta amazônica construída,1958
0,Quando a Amazônia abriu no Blackpool Zoo?,2006
0,Onde está Saint Catherine College no Brasil localizado,Ilha de Florianópolis.
0,Onde o Brasil se classifica como consumidor de energia no mundo?,10º maior
3,Quais dois países reivindicaram a área da Amazonas,Peru
0,Qual é o nome completo do corpo de combate a incêndios militares do Brasil,Corpo de bombeiros militares.
1,Que oceano é o Brasil localizado em,oceano Atlântico
0,Quem viu o último indiano restante na selva amazônica,Loggers.
0,Quantas cidades estão no Brasil para a 3ª temporada,Sete
0,Qual é o nome do código da floresta?,Código florestal brasileiro
3,Que tipo de molho é usado na culinária amazônica,molho de tomate
2,Quanto dos manguezais brasileiros são o lar de Shorebirds,metade
2,Quando foi o corredor ecológico da Floresta do Atlântico Central criado,2002
2,Quem inscreveu a reserva da Amazônia Central como Patrimônio Mundial,UNESCO.
0,Quando o cerrado foi encontrado no Brasil,1892
2,Lago Pompulha é em que país sul-americano,Brasil
0,Qual porcentagem de empresas brasileiras conduzem pesquisa e desenvolvimento em casa,17%
0,Qual foi o nome do boom na região amazônica?,O boom da borracha amazônica
1,Em que país é a ilha de Villegagnon,Brasil
0,onde brasileiro bobsled piloto Eric Maleson competia em 2002,Salt Lake City
0,O que é uma parte central das festividades no Brasil,fogueiras
0,onde é encontrada a preguiça no Brasil,Floresta tropical litoral atlântica.
0,Valença é a maior cidade em que costa da Bahia,Costa Dendê.
0,quantas diferentes grupos étnicos compõem o Kichwa amazônica,dois
0,Qual porcentagem da floresta amazônica o Brasil,60%
0,Quem não conseguiu financiar a pesquisa básica necessária para o sucesso das indústrias de computadores do Brasil,o governo federal
0,Que tipo de manjericão é usado em rituais ayahuasca,Manjericão amazônica
0,Qual é o nome comum do flycatcher amazônico?,Onychorhynchus coronatus.
2,Em qual cidade é a praia da Mole,"Florianópolis, Brasil."
0,O termo Barrio Cerrado é usado em que país,Colômbia
0,Quantos lugares estão na sala de concertos da Sala Sala Paulo,830
0,o que aconteceu com o bioma Amazônia no Brasil,desmatada
0,Quando foi final do arco-íris no Brasil,11 de novembro de 2012
0,Qual montanha é a terceira mais alta no Brasil,Pico da Bandeira.
0,A floresta nacional de Lorena é em que país,Brasil
1,Quem controlou a costa do Brasil de 1630 a 1654,o holandês
0,De onde se realizou o futebol americano no Brasil?,Praia de Copacabana
2,Quem disse que MyLossoma é o peixe mais abundante da Amazônia,Ibama.
1,Onde fica a ponte do rio Oyapock?,Brasil
0,"O Noachian, Hesperiano e Amazônia são unidades geológicas, das quais",Marte.
0,Qual rio inundou Uniao dos Palmares no Brasil em maio de 2010,O rio Mundau.
0,De onde a música Aguas da Amazônia leva seu nome de,Amazon Waters.
0,onde é o período amazônico encontrado no planeta,Marte.
0,O rio Beberibe sobe em que país,Brasil
0,Que tipo de manatee é uma temporada de parto,Amazônia
0,Qual rio inundou Uniao dos Palmares no Brasil em fevereiro de 2010,O rio Mundau.
0,Quem era o Demi-deus da Amazônia que salvou mulher maravilha,Hércules
0,O estado do Amazonas é em que país sul-americano,Brasil
0,Quando o Brasil começou a impor leis em florestas,a década de 1930.
0,A França tem fronteiras terrestres com o Brasil e quais outras nações da ilha,Suriname
0,Qual é a principal causa do declínio da biodiversidade no Brasil,Desmatamento
0,Onde as pessoas indígenas classificam na população do Brasil?,quinto maior
0,Quando foi o centro de treinamento olímpico no Rio de Janeiro construído,2016
0,Qual rede de televisão transmite o Caso Cerrado,Telemundo
0,"Qual revista britânica apresentava a música ""trens para o Brasil""",Nme.
0,Onde o Brasil recebe a maioria de suas emissões de metano?,locais de resíduos descontrolados
0,Quanto da eletricidade do Brasil vem da energia nuclear,cerca de 3%
0,A praia do Porto da Barra é em qual cidade,"Salvador, Brasil"
0,quanto tempo os fogos de carvão duram no Brasil,décadas
0,Quando Manaus foi fundada no Amazonas,1669
0,Onde a primeira terra de expedição russa no Oceano Atlântico,Rio de Janeiro
0,Qual é o nome do primeiro satélite lançado pela Amazonas em 2004,Amazonas 1.
0,Quando foi descoberto Martialis Heureka na floresta amazônica,2000
0,Quando o Brasil e a Placa River chegaram a Southampton?,6 de abril
0,Quando foi formado o cilindro marinho brasileiro e corps corpos,1822
0,Qual rio flui através da floresta do estado antimário no Brasil,O rio Antimário
0,em que rio o governo brasileiro se recusou a ceder às demandas britânicas,Rio Grande do Sul
0,Em que país se entregou ao pai em 2009,Brasil
0,Quantos índios amazônicos se reuniram em Altamira em 1989,mais de 600.
0,Onde é a temporada 4 Finais do Rainbow Six Siege 4,Rio de Janeiro
0,Quem descobriu a doença paracoccidioides brasiliensis,Adolfo Lutz.
0,Onde estão os sapos de saddleback encontrados no Brasil,Mata Atlântica
0,Qual é o nome da corrente que flui ao longo da costa brasileira para o,O Brasil atual
0,Quanta energia eólica o Brasil,Mais de 8 gw
0,Qual é o nome do rio que flui através da floresta amazônica,rio Amazonas
0,Quanto custou o governo brasileiro em 2012 no bem-estar dos animais?,US $ 2 bilhões
1,Qual é a principal atividade humana no delta delta parana,Exploração da floresta de salgueiro
0,Qual é o nome da savana no Brasil.,Cerrado
0,Quantas décadas após o registro seletivo fez a floresta amazônica começar a se recuperar?,Três
0,Quais são as florestas tropicais secas no Brasil.,Mato Grosso florestas sazonais
1,onde está a diada amazona encontrada no Brasil,a bacia amazônica
0,Em que ano os TeleMEZONAS começaram a transmitir no Equador,1974
0,O rio Tocantins é a artéria fluvial central da qual a América do Sul,Brasil
0,Qual foi o nome da Marinha Brasileira formada por voluntários,O Corpo do Mariner Imperial
0,Onde a temporada 8 dos roadies MTV ocorrem,Brasil
0,Qual continente é considerado responsável pela formação do Sveconorwegian,Amazônia
0,Qual é a maior usina para receber registro de MDL,Planta hidrelétrica Jirau no Brasil
0,Um Carranca é um tipo de figura de figura anexada a um rio em que país,Brasil
0,Em que ano foi Alfredo Astiz morto por um submarino brasileiro,1949
0,Onde está a League of Legends Mid Season Tournament 2017 realizada,"Rio de Janeiro, Brasil"
0,Santos foi o ponto de entrada para que doença no Brasil,praga bubÔnica
0,Qual foi o nome do Alfa Romeo Onça.,Jaguar
0,Qual é o grão mais comum comido no Brasil,arroz
0,Quando o Casco Cerrado começou na TV,2 de abril de 2001
0,"Qual é o nome do prato amazônico feito com pedaços de carne, homem",ManiÇOBA.
0,Quem controlava a maior parte da terra no Amazonas,P.
0,Manaus é a capital de qual estado sul-americano,Amazonas.
0,Que tipo de vegetação está em Roraima,floresta tropical
1,Onde foi a primeira conferência integrada de gerenciamento de zona costeira realizada,Rio de Janeiro
0,quanta energia o brasil começa da água,75 milhões de MWh por ano
0,Quem fez a Amazônia para o grupo de venda,56 Comunidades de Awajun e Wampis
0,Qual ex-governador da Amazonas tornou-se o primeiro presidente da Universidade Federal da AM,Eduardo Braga.
0,Qual é o nome mais comum do sapo horned surinam?,Sapo Horned Amazônica
0,Qual é a boca do rio da Madeira no Brasil,Ilha Tupinambaranas.
0,Quantas partidas de fase de grupo foram jogadas no Arena Pantanal,Quatro.
0,Que doença Pedro I do Brasil morreria de,tuberculose
0,Qual foi o petroleiro brasileiro que colidiu com a estrela do mar,Horta Barbosa
0,O que são povos não contactados na floresta amazônica propensa a,doenças
0,Qual é o clima do Brasil abaixo do trópico de Capricórnio,suave
0,Onde o Red Billed Cursow vive no Brasil?,Floresta Atlântica de Lowland.
0,Quantos séculos depois da descoberta do rio Amazonas foi a área do Brasil,Quatro.
0,Onde vem o látex no Tabernaemontana Sananho?,Água do rio Amazônica
0,Qual é a capital do departamento de Amazonas?,Leticia
0,Quem é o dono do canal de TV TeleMEZONAS,FIDEL EGAS GRIJALVA.
0,Quanto tempo fez o jogador de futebol brasileiro Marc Bartra depois do bombardeio,29 dias
0,A Mata Atlântica faz parte do qual país sul-americano,Brasil
0,A ilha de Villegagnon é a casa da qual instituição militar,Escola Naval Brasileira.
0,Que tipo de manatee é tricheque inunguuis,Amazônia
0,O que é a espécie mais ameaçada de Papai Noel Catarina,porquinho da índia
0,Qual estrada atravessa o rio Sucunduri no Brasil,Rodovia trans-amazônio
0,quanto tempo o moxo viveu na floresta amazônica,Milhares de anos
0,Quem é o chef do restaurante amazônico,Pedro Miguel Schiaffino.
0,onde está o pássaro varzea piculet encontrado,Bacia Amazônica do Brasil
0,Onde fica a parte superior do rio Cotingo localizado,Parque Nacional Monte Roraima
1,o menor frigigerbird é encontrado fora da costa de qual país,Brasil
0,Em qual país a Estação Sudeste da Royal Navy é estabelecida em 1838,Brasil
0,"Entre 2005 e 2006, quanto foi a queda no desmatamento no Brasil",41%
0,A cidade de Palmeira Paraná é nomeada depois de que animal,um capton
0,onde estava o imperador sentado durante a coroação do Imperador do Brasil,cadeira do trono
0,Onde é a área mais desmatada do Brasil,Amazonas
0,Quando Trinidad e Tobago pararam de pagar o Brasil por seus navios de patrulha offshore,2010
0,O Parque Nacional Fernando de Noronha é em que país sul-americano,Brasil
0,Qual empresa brasileira fez a saúde animal da Merck em abril de 2017,Vallée S.A.
0,Onde está Panaque Schaeferi encontrada na Amazônia,"Santarém, Brasil"
0,Qual é outro nome para a bacia amazônica?,Floresta amazônica
0,onde é o maior concerto livre no Rio de Janeiro,Praia de Copacabana
1,quão profunda é as ilhas de Alcatrazes no oceano,50 M.
0,Qual é a porcentagem ideal de produção de grãos no Brasil em 2003,120%
0,qual país sul-americano tem tentado obter um assento permanente na segurança da ONU,Brasil
0,quão profundo é o Oceano Bahia de Ponce,150 metros
0,quantas cepas de chikungunya existem no Brasil,dois
0,Qual parque estadual protege o lado brasileiro do rio Uruguai,Parque Estadual de Turvo
0,O que é uma área no Peru que deve ser subdividida,a floresta amazônica
1,A ilha de Villegagnon é perto de que cidade,"Rio de Janeiro, Brasil"
0,A área de Proteção Ambiental da Serra do Mar está localizada em que país,Brasil
0,onde o cerrado está localizado no mundo,Brasil
1,Quanto custa o custo do projeto de restauração do Atlantic Forest,US $ 22 milhões
0,onde está o otoko wa tsurai yo set,Shibamata.
0,Que tipo de deserto seria o Brasil sem o rio voador,deserto árido.
0,onde foi encontrado o macaco esquilo encontrado no Rio de Janeiro,Floresta de Tijuca.
0,Qual é a precipitação anual para paracoccidioides brasiliensis,entre 500 e 800 mm
0,Quem preenche os assentos constitucionais do Quinto no Brasil,Procuradores públicos
0,Onde estão as religiões indianas ainda praticadas no Brasil,a floresta amazônica
0,Qual icterid é o maior em tamanho,Oopendola amazônio
0,Qual porcentagem do aquífero guarani é coberta por basaltos,Mais de 90%
0,Qual porcentagem de produtos brasileiros são produzidos por silvicultura comercial,65%
0,Em que ano o mountaineer brasileiro Vitor Negrete morreu enquanto tentava,2005
0,Onde os macacos de lã marrom vivem no mundo?,Brasil
